id_date,date,FDI_giai_ngan,Tăng trưởng yoy
20210831,Aug-21,1080,-12.19512195
20210930,Sep-21,1700,-29.46058091
20211031,Oct-21,1870,-8.333333333
20211130,Nov-21,1950,39.28571429
20211231,Dec-21,2640,-5.035971223
20220131,Jan-22,1612,6.754966887
20220228,Feb-22,1068,7.878787879
20220331,Mar-22,1740,8.75
20220430,Apr-22,1500,7.142857143
20220531,May-22,1790,8.484848485
20220630,Jun-22,2348,12.34449761
20220731,Jul-22,1512,20
20220831,Aug-22,1230,13.88888889
20220930,Sep-22,2628,54.58823529
20221031,Oct-22,2022,8.128342246
20221130,Nov-22,2230,14.35897436
20221231,Dec-22,2716,2.878787879
20230131,Jan-23,1350,-16.25310174
20230228,Feb-23,1200,12.35955056
20230331,Mar-23,1774,1.954022989
20230430,Apr-23,1526,1.733333333
20230531,May-23,1800,0.558659218
20230630,Jun-23,2371,0.97955707
20230731,Jul-23,1559,3.108465608
20230831,Aug-23,1520,23.57723577
20230930,Sep-23,2813,7.03957382
20231031,Oct-23,2087,3.214638971
20231130,Nov-23,2250,0.896860987
20231231,Dec-23,2933,7.989690722
20240131,Jan-24,1480,9.62962963
20240229,Feb-24,1320,10
20240331,Mar-24,1830,3.156708005
20240430,Apr-24,1650,8.125819135
20240531,May-24,1970,9.444444444
20240630,Jun-24,2592,9.32096162
20240731,Jul-24,1708,9.557408595
20240831,Aug-24,1600,5.263157895
20240930,Sep-24,3185,13.22431568
20241031,Oct-24,2245,7.570675611
20241130,Nov-24,2100,-6.666666667
20241231,Dec-24,3671,25.16195022
20250131,Jan-25,1510,2.027027027
20250228,Feb-25,1440,9.090909091
20250331,Mar-25,2012,9.945355191
20250430,Apr-25,1650,0
